GEOGDESC,ED_ID,T10_4_DF,T10_4_DGRF,T10_4_DGRM,T10_4_DM,T10_4_HCF,T10_4_HCM,T10_4_LSF,T10_4_LSM,T10_4_NFF,T10_4_NFM,T10_4_NSF,T10_4_NSM,T10_4_PDF,T10_4_PDM,T10_4_PF,T10_4_PLCF,T10_4_PLCM,T10_4_PM,T10_4_USF,T10_4_USM,T10_4_NA
KILLINAGH/TEEBANE,027058/027085,0,6,7,0,2,2,7,6,0,4,2,4,5,3,2,14,8,9,7,8,52
BALLYBROPHY,107010,0,20,11,0,5,4,8,7,4,2,4,3,4,6,3,13,14,5,15,25,74
BALLYLEHANE,107013,0,17,15,0,6,3,10,15,1,4,3,7,9,6,4,5,7,6,16,11,63
DANGANS,107039,0,62,48,2,22,13,64,87,19,18,22,21,33,6,23,78,64,32,115,97,704
KILLABBAN,107058,1,39,20,1,11,9,25,24,0,2,2,9,22,4,6,17,34,20,28,36,154
DUNMORE,107043,1,25,17,0,10,6,9,15,2,2,4,3,10,9,7,12,17,14,16,14,96
ERRILL,107047,1,37,12,0,5,11,19,29,5,4,0,3,6,3,15,20,22,18,44,30,148
FARNANS,107048,0,18,7,0,4,2,8,17,3,0,3,0,6,5,9,7,8,9,12,17,72
ARIGNA/DRUMKEERAN/KILLARGA,117029/117007/117054,2,53,26,0,14,12,34,57,6,17,10,8,20,7,23,29,25,31,29,39,171
BALLYBRITTAS,107009,1,131,112,3,38,26,38,66,10,10,14,15,92,60,16,61,72,19,76,66,482
BALLYLYNAN,107014,2,114,65,2,33,20,76,99,6,15,12,15,30,25,25,82,86,50,109,114,564
BALLYROAN,107015,6,74,70,1,23,18,46,64,2,8,16,17,42,17,19,52,69,34,91,76,449
BARROWHOUSE,107016,0,37,33,2,15,2,18,36,2,8,2,4,14,8,10,26,43,13,44,36,170
BLANDSFORT,107017,0,38,17,0,7,10,10,26,0,0,1,2,11,2,7,16,16,20,21,24,109
BORRIS-in-OSSORY,107019,1,63,32,1,20,16,57,70,5,5,16,10,21,17,32,46,38,37,85,84,364
CLASH,107027,0,32,21,0,7,6,9,16,2,5,4,2,8,5,7,17,23,17,24,30,135
