GEOGDESC,ED_ID,T8_1_LAHFF,T8_1_LAHFM,T8_1_NA,T8_1_OTHF,T8_1_OTHM,T8_1_RF,T8_1_RM,T8_1_SF,T8_1_SM,T8_1_UNEF,T8_1_UNEM,T8_1_UTWSDF,T8_1_UTWSDM,T8_1_WF,T8_1_WM
KILLINAGH/TEEBANE,027058/027085,5,0,31,0,0,11,11,7,7,5,7,2,2,26,34
BALLYBROPHY,107010,10,3,50,0,1,8,14,12,11,2,3,6,4,52,51
BALLYLEHANE,107013,16,1,42,1,0,9,14,6,8,3,6,5,5,39,53
DANGANS,107039,111,12,412,3,1,35,39,90,70,55,49,37,43,272,301
KILLABBAN,107058,23,1,106,3,0,19,28,18,12,7,2,10,9,96,130
DUNMORE,107043,14,1,59,0,0,19,17,20,14,3,3,3,3,58,75
ERRILL,107047,21,2,91,1,0,25,20,26,14,11,13,10,7,92,99
FARNANS,107048,12,3,44,1,1,18,9,10,6,4,4,4,1,36,54
ARIGNA/DRUMKEERAN/KILLARGA,117029/117007/117054,25,6,86,7,1,64,59,32,34,14,15,11,27,109,123
BALLYBRITTAS,107009,79,4,327,4,8,72,57,53,53,17,28,21,21,309,355
BALLYLYNAN,107014,84,8,356,5,4,64,79,77,69,34,29,26,31,311,367
BALLYROAN,107015,60,3,300,3,1,67,61,46,62,14,20,21,16,226,294
BARROWHOUSE,107016,27,4,113,1,1,31,36,24,23,7,5,12,8,95,136
BLANDSFORT,107017,17,5,75,0,1,21,24,18,7,2,3,3,1,72,88
BORRIS-in-OSSORY,107019,61,6,239,4,1,75,49,39,29,29,18,23,28,189,230
CLASH,107027,34,5,87,1,1,17,20,19,16,3,1,6,4,56,100
CASTLETOWN (NORTH),147008,254,27,839,7,7,313,303,220,200,128,170,121,120,773,852
BALLYADAMS,107008,22,1,89,0,0,18,31,33,27,2,6,7,6,90,105
AGHMACART,107002,21,1,92,3,2,20,23,19,18,4,2,1,7,72,99
ARDERIN,107003,18,1,84,2,0,9,16,8,10,9,5,6,4,54,73
CULLAHILL,107036,18,2,69,2,2,21,21,19,25,6,3,4,4,79,89
CAHER,107021,4,0,22,0,0,4,8,5,2,0,2,2,1,26,31
CLONASLEE,107028,55,9,182,2,1,65,66,50,41,15,25,18,23,190,230
CLONIN,107030,18,4,48,1,1,9,14,6,9,4,4,2,4,59,59
BALLYFIN,107012,38,6,165,2,0,40,40,30,32,6,5,7,9,151,171
ABBEYLEIX,107001,174,18,577,14,5,234,243,126,131,60,54,62,52,545,682
CULLENAGH,107037,4,1,33,0,2,12,7,10,5,2,0,3,1,28,43
DONAGHMORE,107040,18,2,48,1,2,15,19,9,13,8,5,6,8,47,73
DOONANE,107042,61,9,209,1,1,49,53,32,27,15,33,21,13,145,183
CAPPALOUGH,107023,19,4,72,0,1,24,15,17,18,5,5,5,5,72,96
CARDTOWN,107024,10,0,32,1,0,9,7,7,5,2,3,3,1,39,54
CASTLECUFFE,107025,25,1,93,4,2,21,26,19,19,4,7,3,7,91,105
DERRYLEA/DERRYCUNLAGH,067081/067084,14,4,48,1,0,27,26,14,12,4,10,8,4,66,78
BALLINAKILL,107007,53,10,182,3,2,61,58,30,32,9,12,12,20,149,208
BORRIS,107018,87,16,457,7,5,53,55,79,72,58,53,42,40,354,418
DONORE,107041,27,6,95,0,3,32,32,24,21,10,7,10,10,96,116
CLONKEEN,107031,35,2,135,2,1,43,44,31,28,9,13,11,15,165,181
COOLRAIN,107034,23,6,61,3,1,22,16,9,15,5,5,8,4,64,85
EMO,107046,73,6,249,7,28,76,59,62,61,21,45,13,31,215,299
FOSSY,107049,14,0,45,0,0,9,12,6,10,5,1,1,3,41,44
BALLYCARROLL,107011,20,0,88,2,2,25,19,13,19,6,9,4,5,76,97
ARDOUGH,107004,19,1,79,2,0,18,26,12,10,5,3,3,8,81,105
ARLESS,107005,28,5,79,2,0,19,22,34,25,3,3,8,11,86,94
BALLICKMOYLER,107006,50,5,176,2,2,51,48,34,34,12,17,15,18,179,212
CURRACLONE,107038,13,4,60,3,2,14,19,7,19,0,3,6,5,56,62
CASTLETOWN,107026,49,7,193,2,4,48,63,45,26,20,7,17,10,166,174
CUFFSBOROUGH,107035,20,3,90,0,1,22,16,15,11,9,5,5,2,73,92
KILMULLEN,107060,29,3,129,1,1,34,28,21,25,7,11,14,7,130,164
GRAIGUE RURAL,107052,263,33,1249,22,16,195,192,279,235,107,111,125,77,1114,1263
LUGGACURREN,107066,17,2,57,1,1,20,20,17,15,3,5,6,5,65,99
RATHSARAN,107084,36,3,141,2,0,35,53,13,25,7,10,6,10,141,137
ROSENALLIS,107086,39,5,95,0,0,22,26,22,21,3,4,4,3,93,115
MOUNTMELLICK RURAL,107071,54,5,177,4,5,82,85,43,41,13,11,27,19,237,304
PORTLAOIGHISE RURAL,107079,800,114,3730,53,247,659,685,650,721,370,523,338,369,2966,3829
CARRIGALLEN EAST,117016,18,3,52,0,0,21,26,9,12,7,10,9,7,51,73
