GEOGDESC,ED_ID,T5_2_1PP,T5_2_2PP,T5_2_3PP,T5_2_4PP,T5_2_5PP,T5_2_6PP,T5_2_7PP,T5_2_GE8PP
KILLINAGH/TEEBANE,027058/027085,10,28,21,36,15,30,0,8
BALLYBROPHY,107010,14,38,27,52,55,30,0,11
BALLYLEHANE,107013,18,36,45,36,40,24,0,9
DANGANS,107039,65,206,240,400,375,150,70,24
KILLABBAN,107058,32,78,90,108,100,42,14,0
DUNMORE,107043,18,42,48,84,45,30,14,8
ERRILL,107047,43,74,63,108,70,42,14,18
FARNANS,107048,13,50,27,36,35,24,14,8
ARIGNA/DRUMKEERAN/KILLARGA,117029/117007/117054,114,134,87,104,100,60,14,0
BALLYBRITTAS,107009,69,246,237,356,300,156,35,9
BALLYLYNAN,107014,93,268,324,416,285,114,28,16
BALLYROAN,107015,65,190,186,284,280,138,35,16
BARROWHOUSE,107016,23,106,84,156,100,54,0,0
BLANDSFORT,107017,25,50,57,96,70,18,21,0
BORRIS-in-OSSORY,107019,95,220,201,280,110,60,28,26
CLASH,107027,28,56,54,84,90,36,14,8
CASTLETOWN (NORTH),147008,359,770,927,1044,655,390,119,70
BALLYADAMS,107008,21,66,63,116,90,60,21,0
AGHMACART,107002,23,52,54,100,60,84,0,11
ARDERIN,107003,16,36,39,56,85,60,7,0
CULLAHILL,107036,29,60,54,84,85,30,14,8
CAHER,107021,5,20,21,28,15,18,0,0
CLONASLEE,107028,88,160,216,248,135,54,35,36
CLONIN,107030,18,48,36,60,55,18,7,0
BALLYFIN,107012,40,114,84,200,185,72,7,0
ABBEYLEIX,107001,308,670,615,644,450,228,35,27
CULLENAGH,107037,9,28,21,32,55,6,0,0
DONAGHMORE,107040,23,66,36,60,40,42,7,0
DOONANE,107042,69,152,138,220,195,48,14,16
CAPPALOUGH,107023,19,72,39,92,80,42,14,0
CARDTOWN,107024,13,16,33,36,45,30,0,0
CASTLECUFFE,107025,21,74,48,148,75,54,7,0
DERRYLEA/DERRYCUNLAGH,067081/067084,35,84,63,72,50,12,0,0
BALLINAKILL,107007,62,160,156,248,140,54,21,0
