GEOGDESC,ED_ID,T1_2MARF,T1_2MARM,T1_2SEPF,T1_2SEPM,T1_2SGLF,T1_2SGLM,T1_2WIDF,T1_2WIDM
KILLINAGH/TEEBANE,027058/027085,33,34,2,3,32,34,7,3
BALLYBROPHY,107010,44,43,3,4,54,69,5,5
BALLYLEHANE,107013,45,46,5,6,48,52,4,2
DANGANS,107039,242,241,58,21,471,468,16,13
KILLABBAN,107058,103,101,8,10,103,121,8,10
DUNMORE,107043,62,64,4,7,75,67,8,2
ERRILL,107047,69,75,15,10,132,111,19,1
FARNANS,107048,42,42,3,2,49,59,8,2
ARIGNA/DRUMKEERAN/KILLARGA,117029/117007/117054,105,102,22,12,136,189,36,11
BALLYBRITTAS,107009,327,303,41,27,302,360,36,12
BALLYLYNAN,107014,295,289,53,49,387,432,29,10
BALLYROAN,107015,245,246,27,22,299,327,24,4
BARROWHOUSE,107016,123,125,6,3,114,129,16,7
BLANDSFORT,107017,70,70,3,5,86,85,8,10
BORRIS-in-OSSORY,107019,173,171,35,25,277,296,36,7
CLASH,107027,70,67,5,8,78,118,17,7
CASTLETOWN (NORTH),147008,769,762,151,106,1148,1193,152,53
BALLYADAMS,107008,89,87,6,9,117,114,8,7
AGHMACART,107002,81,83,5,6,91,107,6,5
ARDERIN,107003,58,58,7,4,79,83,9,1
CULLAHILL,107036,79,79,7,8,80,99,10,2
CAHER,107021,23,23,4,3,22,27,3,2
CLONASLEE,107028,170,166,34,15,234,301,36,16
CLONIN,107030,49,49,5,3,58,67,10,1
BALLYFIN,107012,151,153,5,5,170,191,25,2
ABBEYLEIX,107001,550,549,114,86,735,789,117,37
CULLENAGH,107037,31,31,3,2,36,43,5,0
DONAGHMORE,107040,57,58,10,6,53,79,6,5
DOONANE,107042,158,157,27,24,192,250,31,13
CAPPALOUGH,107023,74,76,9,7,80,96,13,3
CARDTOWN,107024,37,39,4,4,34,48,7,0
CASTLECUFFE,107025,95,98,9,3,99,104,13,6
DERRYLEA/DERRYCUNLAGH,067081/067084,71,68,10,11,66,74,14,2
BALLINAKILL,107007,178,183,15,13,183,236,27,6
BORRIS,107018,319,318,51,40,506,527,26,9
DONORE,107041,103,103,9,9,113,128,20,4
CLONKEEN,107031,162,155,16,13,173,177,14,5
COOLRAIN,107034,69,68,9,9,71,83,15,3
EMO,107046,249,254,20,17,274,392,32,7
FOSSY,107049,44,40,4,1,47,53,2,0
BALLYCARROLL,107011,85,84,7,7,83,103,13,3
ARDOUGH,107004,78,82,7,3,76,107,13,6
ARLESS,107005,90,89,8,6,105,104,14,3
BALLICKMOYLER,107006,168,170,18,13,212,235,28,11
CURRACLONE,107038,68,65,3,5,52,72,6,2
CASTLETOWN,107026,147,143,32,14,242,220,23,10
CUFFSBOROUGH,107035,80,78,5,3,83,100,14,1
KILMULLEN,107060,144,143,12,10,118,155,17,5
GRAIGUE RURAL,107052,883,907,191,120,1541,1512,97,30
LUGGACURREN,107066,72,73,7,6,75,85,9,6
RATHSARAN,107084,128,122,9,12,145,176,22,5
ROSENALLIS,107086,98,97,8,3,105,117,18,6
MOUNTMELLICK RURAL,107071,254,252,23,18,221,285,40,14
PORTLAOIGHISE RURAL,107079,2629,2813,515,494,4166,4975,334,128
CARRIGALLEN EAST,117016,53,58,11,8,74,74,15,5
GLENBOY,117043,46,45,7,7,63,58,9,2
CLONDARRIG,107029,492,494,95,46,787,802,42,11
CLONMORE,107032,46,44,2,3,46,67,4,3
KILMURRY,107061,71,69,4,3,75,80,6,0
DYSARTGALLEN,107045,59,63,4,2,64,75,11,0
GRANTSTOWN,107053,78,78,10,9,84,103,22,5
KYLE SOUTH,107064,63,64,10,7,75,67,10,5
ROSSMORE,107087,107,106,8,9,103,125,13,5
MOUNTRATH,107073,421,425,79,70,746,806,99,26
DURROW,107044,274,266,34,26,345,377,41,13
GRAIGUE,107051,59,56,7,3,51,72,8,0
KILCOKE,107055,37,37,3,4,23,33,2,2
KILDELLIG,107057,65,67,4,4,64,94,8,0
REARYMORE,107085,58,61,7,7,64,86,18,3
SALLYFORD,107088,139,136,10,7,152,144,19,7
MONEYMORE,107070,31,31,4,7,33,33,5,0
NEWTOWN,107076,68,69,7,10,73,83,14,5
COLT,107033,41,42,3,3,39,44,7,2
KILLERMOGH,107059,67,70,11,5,80,92,16,5
KYLE,107063,48,47,4,5,48,54,16,6
KILCOLMANBANE,107056,154,149,9,7,129,166,19,5
LACKA,107065,66,62,4,11,71,83,7,3
MARYMOUNT,107067,33,33,3,4,28,40,4,3
MEELICK,107068,74,77,16,10,98,127,17,1
BARNAMEENAGH,117010,36,36,0,5,24,47,4,4
SHAEN,107089,212,213,17,15,239,263,38,9
NEALSTOWN,107075,19,18,3,3,17,27,2,0
O'MORESFOREST,107077,117,114,4,4,116,146,15,7
PORTARLINGTON SOUTH,107078,1351,1350,289,228,2180,2329,158,62
RATHASPICK,107082,64,64,2,3,76,72,7,4
